,Page_No.,Type_of_property,Place,Property_Name,Price_in_lakhs,Min_Area(sft),Max_Area(sft),Posted_Date,Posted_By,BHK,Baths
0,1,Residential land / Plot,Medchal,,0.0,1800 ,1800 ,2021-07-19,Dealer,0,0
1,1,Residential land / Plot,Maheshwaram,,22.0,1800 ,1800 ,2021-07-12,Dealer,0,0
2,1,Residential Apartment,Patancheru,Signature Fortius,45.0,1210 ,1210 ,2021-07-08,Builder,2 ,0
3,1,Independent House,Patancheru,Krushi Madhava Nest,144.0,2280,2316 ,2021-08-03,Builder,4 ,0
4,1,Residential Apartment,Tellapur,Ananda Homes The Ozone Heights,127.0,2205,2435 ,2021-08-06,Builder,3 ,3 
5,1,Independent House,Kondapur,Vessella Woods,705.0,3584,4259 ,2021-07-02,Builder,4 ,6 
6,1,Independent House,Shamshabad,Sreenidhi Luxury Park II,231.0,3338,3844 ,2021-06-25,Builder,4 ,0
7,1,Residential Apartment,Shaikpet,Aditya Athena,174.0,1715,2435 ,2021-03-04,Builder,3 ,3 
8,1,Residential Apartment,Kondapur,GHR Titania,158.0,1686,2509 ,2021-07-09,Builder,3 ,3 
9,1,Residential Apartment,Kollur,Signature Altius,63.9,1420 ,1420 ,2021-07-16,Builder,2 ,0
10,1,Residential Apartment,Kollur,Signature Altius,69.75,1550,2425 ,2021-07-16,Builder,3 ,3 
11,1,Residential Apartment,Rajendra Nagar,Vashnavis Tarak Residency,52.8,1260,1320 ,,Builder,3 ,3 
12,1,Independent House,Vanasthalipuram,APR Praveens Crystal Avenue,198.0,2190,2865 ,2021-07-05,Builder,4 ,4 
13,1,Residential Apartment,Gundlapochampalli,Aparna Kanopy Yellow Bells,0.0,1536,1911 ,,Builder,3 ,0
14,1,Residential Apartment,Gundlapochampalli,Aparna Kanopy Yellow Bells,0.0,1294,1361 ,,Builder,2 ,0
15,1,Residential Apartment,Himayat Nagar,My Fortune Pride,0.0,2850,3590 ,2021-08-06,Builder,5 ,5 
16,1,Residential Apartment,Hi-Tech City,Rainbow Vistas at Rock Garden,222.0,3000 ,3000 ,2021-05-19,Builder,4 ,4 
17,1,Residential Apartment,Dr A.S Rao Nagar,Om Sree Brilliance,119.0,2130,2200 ,2021-06-22,Builder,3 ,0
18,1,Residential Apartment,Sainikpuri,GKs Majestic,80.56,1695,2266 ,,Builder,3 ,0
19,1,Residential Apartment,Alwal,Nestcons Chintala Residency,78.66,1393,1589 ,2021-07-08,Builder,3 ,3 
20,1,Residential Apartment,Alwal,Nestcons Chintala Residency,60.69,1107,1226 ,2021-07-08,Builder,2 ,2 
21,1,Residential Apartment,Himayat Nagar,My Fortune Pride,0.0,1425,2205 ,2021-08-06,Builder,3 ,3 
22,1,Residential Apartment,Manikonda,Anuhar Rami Reddy Towers,92.04,1615,2810 ,2021-08-07,Builder,3 ,3 
23,1,Residential Apartment,Manikonda,Anuhar Rami Reddy Towers,82.46,1281,1447 ,2021-08-07,Builder,2 ,2 
24,1,Residential Apartment,Bahadurpally,Praneeth Pranav Flora,62.99,1500 ,1500 ,2021-06-11,Builder,3 ,3 
25,2,Residential land / Plot,Rudraram,Vinayaka Kohinur City,36.29,1350,1980 ,2021-06-11,Dealer,0,0
26,2,Residential Apartment,Bachupally,Fortune Mayura,87.36,1450,1560 ,2021-07-27,Builder,3 ,3 
