,Property_Name,Property_Type,Area_in_Sft,Price,Page_No.,bhk,Posted_On
0,,Residential land / Plot in Medchal,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 25,000₹ 14/sq.ft.",1,,"Posted on 19th Jul, 2021 by RERA Registered Dealer"
1,,Residential land / Plot in Maheshwaram,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 22 Lac₹ 1,222/sq.ft.",1,,"Posted on 12th Jul, 2021 by RERA Registered Dealer"
2,Signature Fortius,2 BHK Residential Apartment in Patancheru,"1,210 sq.ft. (112 sq.m.) Super built-up Area","₹ 45 Lac₹ 3,719/sq.ft.",1,2 BHK,"Posted on 08th Jul, 2021 by Builder"
3,Krushi Madhava Nest,4 Bedroom Independent House in Patancheru,"2,280-2,316 sq.ft. (212-215 sq.m.) Built-up Area",₹ 1.37  - 1.44 Cr,1,4 BHK,"Posted on 03rd Aug, 2021 by Builder"
4,Ananda Homes The Ozone Heights,3 BHK Residential Apartment in Tellapur,"2,205-2,435 sq.ft. (205-226 sq.m.) Super built-up Area","₹ 1.15  - 1.27 Cr₹ 5,200/sq.ft.",1,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Builder"
5,Vessella Woods,4 Bedroom Independent House in Kondapur,"3,584-4,259 sq.ft. (333-396 sq.m.) Built-up Area","₹ 5.73  - 7.05 Cr₹ 16,444/sq.ft.",1,4 BHK6 Baths,"Posted on 02nd Jul, 2021 by Builder"
6,Sreenidhi Luxury Park II,4 Bedroom Independent House in Shamshabad,"3,338-3,844 sq.ft. (310-357 sq.m.) Built-up Area",₹ 2  - 2.31 Cr,1,4 BHK,"Posted on 25th Jun, 2021 by Builder"
7,Aditya Athena,3 BHK Residential Apartment in Shaikpet,"1,715-2,435 sq.ft. (159-226 sq.m.) Super built-up Area","₹ 1.23  - 1.74 Cr₹ 7,150/sq.ft.",1,3 BHK3 Baths,"Posted on 04th Mar, 2021 by Builder"
8,GHR Titania,3 BHK Residential Apartment in Kondapur,"1,686-2,509 sq.ft. (157-233 sq.m.) Super built-up Area","₹ 1.06  - 1.58 Cr₹ 6,299/sq.ft.",1,3 BHK3 Baths,"Posted on 09th Jul, 2021 by Builder"
9,Signature Altius,2 BHK Residential Apartment in Kollur,"1,420 sq.ft. (132 sq.m.) Super built-up Area",₹ 63.9 Lac,1,2 BHK,"Posted on 16th Jul, 2021 by Builder"
10,Signature Altius,3 BHK Residential Apartment in Kollur,"1,550-2,425 sq.ft. (144-225 sq.m.) Super built-up Area",₹ 69.75 Lac - 1.09 Cr,1,3 BHK3 Baths,"Posted on 16th Jul, 2021 by Builder"
11,Vashnavis Tarak Residency,3 BHK Residential Apartment in Rajendra Nagar,"1,260-1,320 sq.ft. (117-123 sq.m.) Super built-up Area",₹ 50.4  - 52.8 Lac,1,3 BHK3 Baths,Posted on Yesterday by Builder
12,APR Praveens Crystal Avenue,4 Bedroom Independent House in Vanasthalipuram,"2,190-2,865 sq.ft. (203-266 sq.m.) Built-up Area","₹ 1.51  - 1.98 Cr₹ 6,900/sq.ft.",1,4 BHK4 Baths,"Posted on 05th Jul, 2021 by Builder"
13,Aparna Kanopy Yellow Bells,3 BHK Residential Apartment in Gundlapochampalli,"1,536-1,911 sq.ft. (143-178 sq.m.) Super built-up Area",Price on Request,1,3 BHK,Posted on Today by Builder
14,Aparna Kanopy Yellow Bells,2 BHK Residential Apartment in Gundlapochampalli,"1,294-1,361 sq.ft. (120-126 sq.m.) Super built-up Area",Price on Request,1,2 BHK,Posted on Today by Builder
15,My Fortune Pride,5 BHK Residential Apartment in Himayat Nagar,"2,850-3,590 sq.ft. (265-334 sq.m.) Built-up Area",Price on Request,1,5 BHK5 Baths,"Posted on 06th Aug, 2021 by Builder"
16,Rainbow Vistas at Rock Garden,4 BHK Residential Apartment in Hi-Tech City,"3,000 sq.ft. (279 sq.m.) Super built-up Area","₹ 2.22 Cr₹ 7,399/sq.ft.",1,4 BHK4 Baths,"Posted on 19th May, 2021 by Builder"
